wordpress_title	royal_road_title	test	slug
5.24 L	5.24 L	TRUE	5-24-l
5.25 L	5.25 L	TRUE	5-25-l
5.26 L	5.26 L	TRUE	5-26-l
5.27	5.27	TRUE	5-27
5.28	5.28	TRUE	5-28
5.29	5.29	TRUE	5-29
5.30 G	5.30 G	TRUE	5-30-g
5.31 G	5.31 G	TRUE	5-31-g
5.32 G	5.32 G	TRUE	5-32-g
5.33 B	5.33 B	TRUE	5-33-b
Interlude – Blackmage	Interlude – Blackmage	TRUE	interlude-blackmage
5.34	5.34	TRUE	5-34
5.35 H	5.35 H	TRUE	5-35-h
5.36	5.36	TRUE	5-36
5.37 G	5.37 G	TRUE	5-37-g
5.38	5.38	TRUE	5-38
5.39	5.39	TRUE	5-39
5.40	5.40	TRUE	5-40
5.41	5.41	TRUE	5-41
5.42	5.42	TRUE	5-42
5.43	5.43	TRUE	5-43
Interlude – Niers	Interlude – Niers	TRUE	interlude-niers
5.44	5.44	TRUE	5-44
5.45	5.45	TRUE	5-45
5.46	5.46	TRUE	5-46
5.47 G	5.47 G	TRUE	5-47-g
5.48 G	5.48 G	TRUE	5-48-g
5.49	5.49	TRUE	5-49
5.50 G	5.50 G	TRUE	5-50-g
Interlude – Bird	Interlude – Bird	TRUE	interlude-bird
5.51 G	5.51 G	TRUE	5-51-g
5.52	5.52	TRUE	5-52
5.53	5.53	TRUE	5-53
5.54 (Non-Canon)	5.54 (Non-Canon)	TRUE	5-54
5.54	5.54	TRUE	5-54-2
Interlude – Krshia	Interlude – Krshia	TRUE	interlude-krshia
5.55 G	5.55 G	TRUE	5-55-g
5.56 G	5.56 G	TRUE	5-56-g
5.57	5.57	TRUE	5-57
5.58	5.58	TRUE	5-58
5.59	5.59	TRUE	5-59
5.60	5.60	TRUE	5-60
Interlude – Pebblesnatch and Garry	Interlude – Pebblesnatch and Garry	TRUE	interlude-pebblesnatch-and-garry
5.61	5.61	TRUE	5-61
5.62	5.62	TRUE	5-62
Interlude	Interlude	TRUE	interlude-5
6.00	6.00	TRUE	6-00
6.01	6.01	TRUE	6-01
6.02	6.02	TRUE	6-02
6.03	6.03	TRUE	6-03
6.04 D	6.04 D	TRUE	6-04-d
6.05 D	6.05 D	TRUE	6-05-d
6.06 D	6.06 D	TRUE	6-06-d
6.07 D	6.07 D	TRUE	6-07-d
6.08	6.08	TRUE	6-08
6.09	6.09	TRUE	6-09
6.10	6.10	TRUE	6-10
6.11	6.11	TRUE	6-11
6.12 K	6.12 K	TRUE	6-12-k
6.13 K	6.13 K	TRUE	6-13-k
6.14 K	6.14 K	TRUE	6-14-k
6.15 K	6.15 K	TRUE	6-15-k
6.16	6.16	TRUE	6-16
6.17 S	6.17 S	TRUE	6-17-s
6.18 H	6.18 H	TRUE	6-18-h
6.19 H	6.19 H	TRUE	6-19-h
6.20 D	6.20 D	TRUE	6-20-d
6.21 D	6.21 D	TRUE	5-21-d
6.22 D	6.22 D	TRUE	6-22-d
6.23 D	6.23 D	TRUE	6-23-d
6.24 D	6.24 D	TRUE	6-24-d
6.25	6.25	TRUE	6-25
6.26	6.26	TRUE	6-26
6.27 M	6.27 M	TRUE	6-27-m
6.28	6.28	TRUE	6-28
6.29	6.29	TRUE	6-29
Interlude – Embria	Interlude – Embria	TRUE	interlude-embria
6.30	6.30	TRUE	6-30
6.31	6.31	TRUE	6-31
6.32	6.32	TRUE	6-32
6.33 E	6.33 E	TRUE	6-33-e
6.34 E	6.34 E	TRUE	6-34-e
Interlude – Numbtongue (Pt.1)	Interlude – Numbtongue (Pt.1)	TRUE	interlude-numbtongue-pt-1
Interlude – Numbtongue (Pt.2)	Interlude – Numbtongue (Pt.2)	TRUE	interlude-numbtongue-pt-2
6.35	6.35	TRUE	6-35
6.36 E	6.36 E	TRUE	6-36-e
6.37 E	6.37 E	TRUE	6-37-e
6.38	6.38	TRUE	6-38
6.39	6.39	TRUE	6-39
6.40 E	6.40 E	TRUE	6-40-e
6.41 E	6.41 E	TRUE	6-41-e
Interlude – Two Rats	Interlude – Two Rats	TRUE	interlude-two-rats
Interlude – Rufelt	Interlude – Rufelt	TRUE	interlude-rufelt
6.42 E	6.42 E	TRUE	6-42-e
6.43 E	6.43 E	TRUE	6-43-e
6.44 E	6.44 E	TRUE	6-44-e
6.45 E	6.45 E	TRUE	6-45-e
6.46 E	6.46 E	TRUE	6-46-e
6.47 E	6.47 E	TRUE	6-47-e
6.48 T	6.48 T	TRUE	6-48-t
6.49	6.49	TRUE	6-49
6.50 I	6.50 I	TRUE	6-50-i
6.51 A	6.51 A	TRUE	6-51-a
6.52 K	6.52 K	TRUE	6-52-k
6.53 K	6.53 K	TRUE	6-53-k
6.54 K	6.54 K	TRUE	6-54-k
6.55 K	6.55 K	TRUE	6-55-k
Interlude – The Titan’s Question	Interlude – The Titan’s Question	TRUE	interlude-the-titans-question
6.56	6.56	TRUE	6-56
6.57	6.57	TRUE	6-57
6.58	6.58	TRUE	6-58
6.59	6.59	TRUE	6-59
6.60	6.60	TRUE	6-60
Interlude – Talia	Interlude – Talia	TRUE	interlude-talia
6.61 L	6.61 L	TRUE	6-61-l
6.62 L	6.62 L	TRUE	6-62-l
Interlude – Foliana	Interlude – Foliana	TRUE	interlude-foliana
6.63 P	6.63 P	TRUE	6-63-p
6.64	6.64	TRUE	6-64
6.65	6.65	TRUE	6-65
6.66 H	6.66 H	TRUE	6-66-h
6.67	6.67	TRUE	6-67
6.68	6.68	TRUE	6-68
7.00	7.00	TRUE	7-00
7.01	7.01	TRUE	7-01
7.02	7.02	TRUE	7-02
7.03	7.03	TRUE	7-03
Mini Chapter #1	Mini Stories – Crabs and Drinks	FALSE	mini-stories-crabs-and-drinks
7.04	7.04	TRUE	7-04
Interlude – Queens and Dragons	Interlude – Queens and Dragons	TRUE	interlude-queens-and-dragons
7.05 P	7.05 P	TRUE	7-05-p
7.06	7.06	TRUE	7-06
7.07	7.07	TRUE	7-07
7.08 K	7.08 K	TRUE	7-08-k
7.09 K	7.09 K	TRUE	7-09-k
7.10 K	7.10 K	TRUE	7-10-k
7.11	7.11	TRUE	7-11
Interlude – Dancing and Brawling	Interlude – Dancing and Brawling	TRUE	interlude-dancing-and-brawling
Interlude – Chocolate Gold	Interlude – Chocolate Gold	TRUE	interlude-chocolate-gold
Interlude – Chess and Ships	Interlude – Chess and Ships	TRUE	interlude-chess-and-ships
Interlude – Chocolate Alchemy	Interlude – Chocolate Alchemy	TRUE	interlude-chocolate-alchemy
Interlude – Lifting Ants	Interlude – Lifting Ants	TRUE	interlude-lifting-ants
Interlude – Burning Alcohol	Interlude – Burning Alcohol	TRUE	interlude-burning-alcohol
Interlude – The Hangover After	Interlude – The Hangover After	TRUE	interlude-the-hangover-after
7.12 G	7.12 G	TRUE	7-12-g
7.13 K	7.13 K	TRUE	7-13-k
Mating Rituals Pt.2	Mating Rituals Pt.2	TRUE	mating-rituals-pt-2
7.14 T	7.14 T	TRUE	7-14-t
7.15 R	7.15 R	TRUE	7-15-r
7.16 L	7.16 L	TRUE	7-16-l
7.17 S	7.17 S	TRUE	7-17-s
7.18 M	7.18 M	TRUE	7-18-m
Interlude – Strategists at Sea (Pt. 1)	Interlude – Strategists at Sea (Pt. 1)	TRUE	interlude-strategists-at-sea-pt-1
Interlude – Strategists at Sea (Pt. 2)	Interlude – Strategists at Sea (Pt. 2)	TRUE	interlude-strategists-at-sea-pt-2
7.19	7.19	TRUE	7-19
7.20	7.20	TRUE	7-20
